date,portfolio_id,strategy,ticker,side,shares,fill_price,commission,cash_after,equity_after,reason
2026-07-22,swing_10k,swing,HAS,BUY,16.0,88.9545,1.0,74.15,9315.88,"פריצה #1 +4.0% מעל הרף, RSI 66"
2026-07-23,swing_100,swing,T,BUY,3.0,23.2616,0.6978,9.99,93.7,"פריצה #4 +2.4% מעל הרף, RSI 62"
2026-07-23,swing_10k,swing,EFX,SELL,9.0,168.3558,1.0,1588.35,9245.37,המהלך נגמר — מתחת לממוצע 10
2026-07-23,swing_10k,swing,PCAR,BUY,12.0,131.2656,1.0,12.16,9238.18,"פריצה #1 +3.5% מעל הרף, RSI 67"
2026-07-23,pullback_10k,pullback,GEV,SELL,1.0,980.8193,1.0,1169.67,9892.7,התמיכה נשברה — מתחת לממוצע 50
2026-07-23,pullback_10k,pullback,AMD,SELL,2.0,544.4676,1.0,2257.6,9901.25,"מימוש חלקי +16% — נמכרה מחצית, סטופ הועלה לכניסה"
2026-07-23,pullback_10k,pullback,MU,BUY,2.0,975.7176,1.0,305.17,9929.24,משיכה #1 — חוזק יחסי 100% · מרחק מממוצע 50 +1.2%
2026-07-24,swing_10k,swing,GPN,SELL,20.0,78.5207,1.0,1581.58,9303.9,המהלך נגמר — מתחת לממוצע 10
2026-07-24,swing_10k,swing,LMT,BUY,2.0,568.8743,1.0,442.83,9330.35,"פריצה #1 +4.2% מעל הרף, RSI 69"
2026-07-27,pullback_10k,pullback,MU,SELL,2.0,931.9788,1.0,2168.13,9643.38,התמיכה נשברה — מתחת לממוצע 50
2026-07-27,pullback_10k,pullback,FFIV,BUY,5.0,398.9994,1.0,172.13,9687.18,משיכה #1 — חוזק יחסי 96% · מרחק מממוצע 50 -1.5%
2026-07-28,pullback_10k,pullback,AMAT,SELL,4.0,490.1548,1.0,2131.75,9461.63,התמיכה נשברה — מתחת לממוצע 50
2026-07-28,pullback_10k,pullback,CRWD,BUY,11.0,181.4207,1.0,135.12,9464.8,משיכה #1 — חוזק יחסי 97% · מרחק מממוצע 50 +0.8%
2026-07-29,pullback_10k,pullback,AMD,SELL,2.0,451.774,1.0,1037.67,9200.87,התמיכה נשברה — מתחת לממוצע 50
2026-07-29,pullback_10k,pullback,DELL,BUY,2.0,388.6942,1.0,259.28,9161.76,משיכה #1 — חוזק יחסי 100% · מרחק מממוצע 50 +0.8%
2026-07-30,rsi2_100,rsi2,SPYM,BUY,1.0,86.6733,0.8667,10.66,97.97,RSI2=8.5 < 10
2026-07-30,rsi2_10k,rsi2,SPY,BUY,13.0,736.418,1.0,418.15,10060.12,RSI2=8.5 < 10
2026-07-30,swing_100,swing,AES,SELL,1.0,14.8426,0.1484,24.68,94.31,המהלך נגמר — מתחת לממוצע 10
2026-07-30,swing_10k,swing,AES,SELL,250.0,14.8426,1.25,4152.22,9436.92,המהלך נגמר — מתחת לממוצע 10
2026-07-30,swing_10k,swing,GEHC,BUY,57.0,71.5357,1.0,73.69,9344.97,"פריצה #1 +9.5% מעל הרף, RSI 69"
2026-07-30,pullback_10k,pullback,DELL,SELL,2.0,384.6976,1.0,1027.68,9383.28,התמיכה נשברה — מתחת לממוצע 50
2026-07-30,pullback_10k,pullback,FFIV,SELL,5.0,390.4047,1.0,2978.7,9390.56,התמיכה נשברה — מתחת לממוצע 50
2026-07-30,pullback_10k,pullback,IRM,SELL,17.0,122.9785,1.0,5068.33,9361.31,התמיכה נשברה — מתחת לממוצע 50
2026-07-30,pullback_10k,pullback,HPE,BUY,37.0,46.3131,1.0,3353.75,9390.91,משיכה #1 — חוזק יחסי 100% · מרחק מממוצע 50 -1.9%
2026-07-30,pullback_10k,pullback,HUM,BUY,4.0,363.9519,1.0,1896.94,9400.74,משיכה #2 — חוזק יחסי 98% · מרחק מממוצע 50 +0.1%
2026-07-30,pullback_10k,pullback,STLD,BUY,6.0,252.9064,1.0,378.5,9397.3,משיכה #3 — חוזק יחסי 95% · מרחק מממוצע 50 +2.1%
2026-07-31,rsi2_100,rsi2,SPYM,SELL,1.0,87.6162,0.8762,97.4,97.4,exit
2026-07-31,rsi2_10k,rsi2,SPY,SELL,13.0,744.3077,1.0,10093.15,10093.15,close>5SMA (741.69>738.01)
2026-07-31,swing_100,swing,T,SELL,3.0,23.1584,0.6948,93.46,93.46,המהלך נגמר — מתחת לממוצע 10
2026-07-31,swing_100,swing,CMG,BUY,2.0,37.989,0.7598,16.73,91.17,"פריצה #2 +5.2% מעל הרף, RSI 69"
2026-08-03,screener_track_10k,screener_track,RBLX,SELL,15.0,35.5622,1.0,4754.59,10436.91,סטופ הועלה לנקודת הכניסה — מתחת לכניסה
2026-08-04,rotation_100,rotation,SPYM,BUY,1.0,89.5648,0.8956,9.54,100.33,rotate->SPY (5.4%)
2026-08-04,rotation_10k,rotation,QQQ,SELL,13.0,707.8509,1.0,9762.81,9762.81,rotate->SPY (5.4%)
2026-08-04,rotation_10k,rotation,SPY,BUY,12.0,761.0103,1.0,629.68,9885.64,rotate->SPY (5.4%)
2026-08-04,momentum_scan_10k,momentum_scan,ON,SELL,28.0,84.2529,1.0,2670.42,7728.36,ירד מהדירוג — כעת מחוץ לטופ 10 (דירוג אחרון 14)
2026-08-04,momentum_scan_10k,momentum_scan,AMD,BUY,5.0,504.4921,1.0,146.96,7797.8,"rank 5, 6-1 +140.5%"
2026-08-04,screener_track_10k,screener_track,CELH,BUY,42.0,28.074,1.0,3574.49,10632.47,screener shortlist #2
2026-08-04,screener_track_10k,screener_track,HOOD,BUY,12.0,92.7714,1.0,2460.23,10640.33,screener shortlist #3
2026-08-04,screener_track_10k,screener_track,PAYX,BUY,10.0,115.1676,1.0,1307.55,10674.25,screener shortlist #5
2026-08-04,screener_track_10k,screener_track,RBLX,BUY,32.0,36.6583,1.0,133.49,10684.19,screener shortlist #9
